,search-city,search-key,company,phno,actual-address,actual-tags
89,Mumbai,textile-manufacturer,"Indian Fashion Attire in Parel, Mumbai",+(91)-022-24706644,"Shop No 10 ,Ground Floor, Kingston Tower, Dr Babasaheb Ambedkar Road, Parel, Mumbai - 400012, Opposite Mint Colony","Readymade Garment Retailers, Fabric Retailers, .."
90,Mumbai,textile-manufacturer,"Abhishek Textiles in Bhiwandi, Mumbai",+(91)-2522-280040,"Sapna Industrial Compound, Kalyan MIDC Road, Bhiwandi, Mumbai - 421302, Near Nakoda School, Saravli Village","Fabric Wholesalers, Textile Manufacturers, .."
91,Mumbai,textile-manufacturer,"Mandhana Industries Ltd (Factory) in Boisar, Mumbai",+(91)-9321358835,"C 3, Tarapur Industrial Estate, Boisar, Palghar - 401501, Near MIDC","Textile Manufacturers, Textile Fabric Manufacturers"
92,Mumbai,textile-manufacturer,"Habib Textile Pvt Ltd in Bhiwandi, Mumbai",+(91)-2522-650501,"1130 Building, Habib Ansari Building, Mumbai Nasik Highway, Bhiwandi, Thane - 421302, Haji Ali Compound, V P Naka","Fabric Manufacturers, Cotton Fabric Manufacturers, .."
93,Mumbai,textile-manufacturer,"D N H Spinners Pvt Ltd in Malad West, Mumbai",+(91)-22-28819990,"601/602 & 603, Business Classic, Chinholi Bunder Road, Malad West, Mumbai - 400064, Near Junction Of S V Road","Textile Manufacturers, Jute Yarn Exporters, .."
94,Mumbai,textile-manufacturer,"Harshil Textiles in Lower Parel, Mumbai",+(91)-22-40040457,"SShop No 24, Keval Industrial Estate, Senapati Bapat Marg, Lower Parel, Mumbai - 400013, Near Big Bazar","Textile Manufacturers, Textile Garment Manufacturers, .."
95,Mumbai,textile-manufacturer,"Girgaon Saree Emporium in Girgaon, Mumbai",+(91)-22-23827329,"249 Ram Niwas, Girgaon Road, Girgaon, Mumbai - 400004, Opposite Mangal Wadi",Textile Manufacturers
96,Mumbai,textile-manufacturer,"L 18 Fashion Fabric in Andheri West, Mumbai",+(91)-22-26372177,"Shop No 22..23, Manish Shopping Centre, J P Road, Andheri West, Mumbai - 400053, Four Bunglows","Fabric Retailers, Textile Wholesalers, .."
97,Mumbai,textile-manufacturer,"Swan Mills Ltd in Nariman Point, Mumbai",+(91)-022-22027197,"2nd Floor, Free Press House, Nariman Point, Mumbai - 400021",Textile Manufacturers
1078,Mumbai,textile-manufacturer,"Mahajan Textiles Finishers Pvt Ltd in Vikhroli West, Mumbai",+(91)-22-61774999,"Mahajan Mills Compound, L B S Marg, Vikhroli West, Mumbai - 400079","Shirt Manufacturers, Textile Manufacturers, .."
1079,Mumbai,textile-manufacturer,"Topman Exports Ltd in Chandivali-andheri East, Mumbai",+(91)-22-28594462,"Tex Center 3rd Floor 303, Saki Vihar Road, Chandivali-andheri East, Mumbai - 400072, Near Boomerang","Readymade Garment Manufacturers, Textile Manufacturers, .."
1080,Mumbai,textile-manufacturer,"Mikado Enterprises in Lower Parel, Mumbai",+(91)-22-56663787,"A-1 Unit No B 323/417, Shah & Nahar Industrial Estate, S J Marg, Lower Parel, Mumbai - 400013",Textile Manufacturers
1081,Mumbai,textile-manufacturer,"Hemp Fabric Lab in Lower Parel, Mumbai",+(91)-22-24912554,"Unit No 2, Cama Industrial Estate, Lower Parel, Mumbai - 400013, Opposite Jaipur Rugs, Sun Mill Compound","Fabric Retailers, Fabric Manufacturers, .."
1082,Mumbai,textile-manufacturer,"NRG Industries in Thane West, Mumbai",+(91)-022-25832580,"501502 United Business Park, No 11, Road, Thane West, Thane - 400604, Near Old Passport Office","Textile Manufacturers, Textile Fabric Manufacturers, .."
1083,Mumbai,textile-manufacturer,"Sushila International in Azad Nagar-Andheri West, Mumbai",+(91)-022-26395731,"1205/06, Dhanashree Heights, Azad Nagar-Andheri West, Mumbai - 400053, Opposite Veera Desai Road","Fabric Manufacturers, Textile Exporters, .."
1084,Mumbai,textile-manufacturer,"Mukesh Textile Mills in Zaveri Bazar-kalbadevi, Mumbai",+(91)-022-23423790,"25 27 1st Flr, Shamseth, Zaveri Bazar-kalbadevi, Mumbai - 400002",Textile Manufacturers
1085,Mumbai,textile-manufacturer,"Tex Fab International in Kandivali West, Mumbai",+(91)-22-28682941,"81, Goverment Industrial Estate, Charkop, Kandivali West, Mumbai - 400067",Textile Manufacturers
